10	Singer/Songwriter
100000	Inspirational
100001	Art Song
100002	Brass & Woodwinds
100003	Solo Instrumental
100004	Contemporary Era
100005	Oratorio
100006	Cantata
100007	Electronic
100008	Sacred
100009	Guitar
100010	Piano
100011	Violin
100012	Cello
100013	Percussion
100014	Dubstep
100015	Bass
100016	UK Hip-Hop
100017	Lovers Rock
100018	EMO
100019	Pop Punk
100020	Indie Pop
100021	Yoga
100022	Tribute
100023	Shows
100024	Cuban
100025	Mambo
100026	Chachacha
100027	Guajira
100028	Son
100029	Bolero
100030	Guaracha
100031	Timba
100032	Video Game
100033	Punjabi Pop
100034	Rabindra Sangeet
100035	Malayalam
100036	Kannada
100037	Marathi
100038	Gujarati
100039	Assamese
100040	Bhojpuri
100041	Haryanvi
100042	Odia
100043	Rajasthani
100044	Urdu
100045	Punjabi
100046	Bengali
100047	Carnatic Classical
100048	Hindustani Classical
100049	Afro House
100050	Afro Soul
100051	Afrobeats
100052	Benga
100053	Bongo-Flava
100054	Coupé-Décalé
100055	Gqom
100056	Highlife
100057	Kuduro
100058	Kizomba
100059	Kwaito
100060	Mbalax
100061	Ndombolo
100062	Shangaan Electro
100063	Soukous
100064	Taarab
100065	Zouglou
100066	Özgün
100067	Fantezi
100068	Religious
100069	Turkish Pop
100070	Turkish Rock
100071	Turkish Alternative
100072	Turkish Hip-Hop/Rap
100073	Maskandi
100074	Romance in Russian
100075	Bard in Russian
100076	Pop in Russian
100077	Rock in Russian
100078	Hip-Hop in Russian
100079	Levant
100080	Dabke
100081	Maghreb Rai
100082	Khaleeji Jalsat
100083	Khaleeji Shailat
100084	Tarab
100085	Iraqi Tarab
100086	Egyptian Tarab
100087	Khaleeji Tarab
100088	Levant Pop
100089	Iraqi Pop
100090	Egyptian Pop
100091	Maghreb Pop
100092	Khaleeji Pop
100093	Levant Hip-Hop
100094	Egyptian Hip-Hop
100095	Maghreb Hip-Hop
100096	Khaleeji Hip-Hop
100097	Indie Levant
100098	Indie Egyptian
100099	Indie Maghreb
1001	College Rock
100100	Levant Electronic
100101	Electro-Cha'abi
100102	Maghreb Electronic
100103	Iraqi Folk
100104	Khaleeji Folk
100105	Maghreb Dance
100106	Christmas: Country
100107	Hörspiele
1002	Goth Rock
1003	Grunge
1004	Indie Rock
1005	New Wave
1006	Punk
1007	Chicago Blues
1009	Classic Blues
1010	Contemporary Blues
1011	Country Blues
1012	Delta Blues
1013	Electric Blues
1014	Lullabies
1015	Sing-Along
1016	Stories
1017	Avant-Garde
1018	Baroque Era
1019	Chamber Music
1020	Chant
1021	Choral
1022	Classical Crossover
1023	Early Music
1024	Impressionist
1025	Medieval Era
1026	Minimalism
1027	Modern Era
1028	Opera
1029	Orchestral
1030	Renaissance
1031	Romantic Era
1032	Wedding Music
1033	Alternative Country
1034	Americana
1035	Bluegrass
1036	Contemporary Bluegrass
1037	Contemporary Country
1038	Country Gospel
1039	Honky Tonk
1040	Outlaw Country
1041	Traditional Bluegrass
1042	Traditional Country
1043	Urban Cowboy
1044	Breakbeat
1045	Exercise
1046	Garage
